EventTime,BEST_BID,BEST_BID_VOL,BEST_ASK,BEST_ASK_VOL,MIDPOINT
2020-01-01 09:30:00,,,,,
2020-01-01 09:31:00,99967.0,25.0,99968.0,144.0,99967.5
2020-01-01 09:32:00,99989.0,6.0,99990.0,23.0,99989.5
2020-01-01 09:33:00,99983.0,2.0,99984.0,63.0,99983.5
2020-01-01 09:34:00,99982.0,15.0,99984.0,40.0,99983.0
2020-01-01 09:35:00,99938.0,43.0,99939.0,3.0,99938.5
2020-01-01 09:36:00,99911.0,159.0,99912.0,15.0,99911.5
2020-01-01 09:37:00,99801.0,40.0,99802.0,65.0,99801.5
2020-01-01 09:38:00,99746.0,22.0,99747.0,118.0,99746.5
2020-01-01 09:39:00,99746.0,24.0,99747.0,78.0,99746.5
2020-01-01 09:40:00,99778.0,85.0,99779.0,59.0,99778.5
2020-01-01 09:41:00,99790.0,21.0,99792.0,37.0,99791.0
2020-01-01 09:42:00,99794.0,37.0,99798.0,19.0,99796.0
2020-01-01 09:43:00,99837.0,7.0,99838.0,23.0,99837.5
2020-01-01 09:44:00,99865.0,42.0,99866.0,248.0,99865.5
2020-01-01 09:45:00,99864.0,41.0,99865.0,9.0,99864.5
2020-01-01 09:46:00,99913.0,39.0,99915.0,28.0,99914.0
2020-01-01 09:47:00,99965.0,107.0,99966.0,87.0,99965.5
2020-01-01 09:48:00,99951.0,190.0,99952.0,182.0,99951.5
2020-01-01 09:49:00,99945.0,11.0,99946.0,6.0,99945.5
2020-01-01 09:50:00,99950.0,201.0,99951.0,89.0,99950.5
2020-01-01 09:51:00,99956.0,142.0,99957.0,17.0,99956.5
2020-01-01 09:52:00,99946.0,32.0,99947.0,34.0,99946.5
2020-01-01 09:53:00,99957.0,51.0,99958.0,69.0,99957.5
2020-01-01 09:54:00,99944.0,106.0,99946.0,55.0,99945.0
2020-01-01 09:55:00,99936.0,72.0,99937.0,143.0,99936.5
2020-01-01 09:56:00,99961.0,175.0,99962.0,171.0,99961.5
2020-01-01 09:57:00,99985.0,57.0,99986.0,13.0,99985.5
2020-01-01 09:58:00,99962.0,25.0,99964.0,47.0,99963.0
2020-01-01 09:59:00,99955.0,18.0,99956.0,43.0,99955.5
2020-01-01 10:00:00,99967.0,298.0,99968.0,50.0,99967.5
2020-01-01 10:01:00,100043.0,23.0,100044.0,6.0,100043.5
2020-01-01 10:02:00,100045.0,35.0,100046.0,90.0,100045.5
2020-01-01 10:03:00,100047.0,38.0,100048.0,85.0,100047.5
2020-01-01 10:04:00,100087.0,46.0,100092.0,60.0,100089.5
2020-01-01 10:05:00,100107.0,27.0,100108.0,113.0,100107.5
2020-01-01 10:06:00,100108.0,16032.0,100109.0,23.0,100108.5
2020-01-01 10:07:00,100109.0,13106.0,100110.0,1145.0,100109.5
2020-01-01 10:08:00,100110.0,13255.0,100111.0,707.0,100110.5
2020-01-01 10:09:00,100111.0,14903.0,100112.0,997.0,100111.5
2020-01-01 10:10:00,100112.0,12124.0,100113.0,1101.0,100112.5
2020-01-01 10:11:00,100113.0,11255.0,100114.0,1268.0,100113.5
2020-01-01 10:12:00,100114.0,14889.0,100115.0,607.0,100114.5
2020-01-01 10:13:00,100115.0,14067.0,100116.0,1144.0,100115.5
2020-01-01 10:14:00,100116.0,11320.0,100117.0,1142.0,100116.5
2020-01-01 10:15:00,100117.0,14271.0,100118.0,789.0,100117.5
2020-01-01 10:16:00,100118.0,12808.0,100119.0,584.0,100118.5
2020-01-01 10:17:00,100119.0,13815.0,100120.0,1184.0,100119.5
2020-01-01 10:18:00,100120.0,13387.0,100121.0,1076.0,100120.5
2020-01-01 10:19:00,100121.0,11115.0,100122.0,1195.0,100121.5
2020-01-01 10:20:00,100122.0,10982.0,100123.0,1020.0,100122.5
2020-01-01 10:21:00,100123.0,11033.0,100124.0,1155.0,100123.5
2020-01-01 10:22:00,100124.0,10701.0,100125.0,1401.0,100124.5
2020-01-01 10:23:00,100125.0,11352.0,100126.0,1334.0,100125.5
2020-01-01 10:24:00,100126.0,10358.0,100127.0,1275.0,100126.5
2020-01-01 10:25:00,100127.0,10616.0,100128.0,1656.0,100127.5
2020-01-01 10:26:00,100128.0,9269.0,100129.0,1461.0,100128.5
2020-01-01 10:27:00,100129.0,10581.0,100130.0,1568.0,100129.5
2020-01-01 10:28:00,100130.0,12296.0,100131.0,1566.0,100130.5
2020-01-01 10:29:00,100131.0,11038.0,100132.0,1478.0,100131.5
2020-01-01 10:30:00,100132.0,9842.0,100133.0,1189.0,100132.5
2020-01-01 10:31:00,100133.0,11297.0,100134.0,1511.0,100133.5
2020-01-01 10:32:00,100134.0,10975.0,100135.0,1625.0,100134.5
2020-01-01 10:33:00,100135.0,12383.0,100136.0,1518.0,100135.5
2020-01-01 10:34:00,100136.0,10842.0,100137.0,1524.0,100136.5
2020-01-01 10:35:00,100137.0,9745.0,100138.0,1375.0,100137.5
2020-01-01 10:36:00,100138.0,10908.0,100139.0,1220.0,100138.5
